State B,State B code,styear,StateB primary target?,Name,UNRES,Location,dispnum,RemoveCase,stday,stmon,endday,endmon,endyear,Ongoing,cumdurat,Era,Decade,PresName,Frontier War,Era2,US HiHost,US HighAct,dyadic hostility,dyadic HighAct,HihostB,HighActB,US Orig,originatA,originatB,sideaa,InterType,Objective,ObjectiveCode,ForeignReg,BuildReg,Empire,Territory,Policy,SocialProt,Economic,ProtOwn,Outcome,BattleFatUS,BattleFatB,BattleFat,BattleLevUS,BattleLevB,BattleLev,FatUS,FatB,Fatalities,fatlevUS,fatlevB,FatLev,MaxCost,MaxTroops,MaxNavy,MaxAir,MIP,Additions to MID,MID Dummy,IMI Dummy,MIPS Dummy,CRS Dummy,ACD Dummy,National Interest Index,contiguity,ContiguityDummy,War,US milex,US milper,US irst,US pec,US tpop,US upop,US CINC,State B milex,State B milper,State B irst,State B pec,State B tpop,State B upop,State B CINC,defense,neutrality,nonaggression,entente,AllianceDummy,Alliances (1-4),Colonial land,Colonial sea,Colonial contiguity,ColonialDummy,US imports,US exports,State B imports,State B exports,Trade flow1,Trade flow2,smoothflow1,smoothflow2,smoothtotrade,spike1,spike2,dip1,dip2,trdspike,tradedip,US democ,US autoc,US polity,US polity2,US durable,State B democ,State B autoc,State B polity,State B polity2,State B durable,US Dsource,US idp,US host,US hostChange,State B source,State B idp,State B host,US nGDP,US rGDP,US nGDP capita ,US rGDP capita,US rGDPCChange,US Recession,ideal1,ideal2,absidealdiff,s2un,s3un,agree2un,agree3un,jointvotes2,jointvotes3,PHYSINT,DISAP,KILL,POLPRIS,TORT,EMPINX,ASSN,FORMOV,DOMMOV,OLD_MOVE,SPEECH,ELECSD,OLD_RELFRE,RELFRE,WORKER,WECON,WOPOL,WOSOC,INJUD,UNRegN,UNRegT,UNSUBREG,SubRegT,SubRegN,OECDReg,PTS_A,PTS_S,US Defense Spending,ChildMort,LifeExp,StateBHC,StateBrGDP ,USHC,USunemp,USDeficit,USDecifitGDP,USDeficitCon,USDebtGDP,USExpGDP,USDExpGDP,USCapInv,DefOutlay%,DODOutlays$,DOSOutlays$,SDratioOutlays$,DODOutlays%,DOSOutlays%,SDratioOutlays%,DOD BA$,DOS BA$,SDratioBA$,DOD BA%,DOS BA%,SDratioBA%,SenateDem,HouseDem,PresidentDem,DemControl,RepControl,CongressDem,CongressRep,PresElectionYear,ViolentCrime,Murder,LegacyRape,Robbery,AggravatedAssault,PropertyCrime ,Burglary,LarcenyTheft,VehicleTheft,oil_prod,oil_price_2000,oil_price_nom,oil_value_nom,oil_value_2000,oil_value_2014,gas_prod,gas_price_2000_mboe,gas_price_2000,gas_price_nom,gas_value_nom,gas_value_2000,gas_value_2014,oilgas_value_nom,oilgas_value_2000,oilgas_value_2014,oil_exports,gas_exports,coup1,coup2,coup3,coup4,democracy,assconfid,poppreselec,regime,ttd,tta,stra,Oil Dummy,Population (in thousands),MilExp_Con,ExpShareGDP,Description
MEX,70,1860,1,Battle of Anton Lizardo,,70,1549,0,6,3,6,3,1860,0,1,1,,Buchanan,0,2,4,19,4,19,4,19,0,0,1,0,1,Protect own Military and/or Diplomatic Interests,8,0,0,0,0,0,0,0,1,1,1,Unknown,Unknown,1,Unknown,Unknown,1,Unknown,Unknown,1,Unknown,Unknown,,0,5,0,1,0,1,0,0,0,0,2,1,1,0,7060,28,835,18282,31513,2639,0.0773722,-9,26,0,53,8412,198,0.0051923,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,8,0,8,8,51,1,4,-3,-3,11,,,,,,,,4387,93146,139.21,2955.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,48.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31513,,,United States sloop-of-war Saratoga and two steamers asked two Mexican steamers to show their colors.  Steamers refused and fired on American ship.  American ships attacked and captured both Mexican steamers.  
UKG/FRN/SPN,200,1860,1,Mexican War of Reform ,,70,1631,0,20,12,20,12,1860,0,1,1,,Buchanan,0,2,2,2,2,2,1,1,1,1,0,1,1,Maintain/Build Foreign Regime Authority; Maintain Empire; Protect own Military and/or Diplomatic Interests;,2; 3; 8,0,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,7060,28,835,18282,31513,2639,0.0773722,,,,,,,,,,,,,,3,3,6,1,,,,,,,,,,,,,,,,8,0,8,8,51,6,3,3,3,23,,,,,,,,4387,93146,139.21,2955.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31513,,,"European countries want to intervene during Mexican civil war to force a settlement.  Special agent of US legation in Mexico, in note to Spanish ambassador to Mexico, threatened armed action if any country intervented or tried to establish European presence in Mexico."
UKG/CUB/RUS,200,1861,0,Trent Affair,,200,225,0,7,11,26,12,1861,0,50,1,,Lincoln,0,2,4,17,4,17,3,7,1,1,0,1,1,Economic Protection; Protect Own Military and/or Diplomatic Interests,7;8,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,2,2,1,0,95362,217,664,17660,32351,2759,0.1444292,,,,,,,,,,,,,,3,3,6,1,,,,,,,,,,,,,,,,8,0,8,8,52,6,3,3,3,24,,,,,,,,4643,94805,144.13,2942.89,-0.44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,Europe,154,W. & N. Europe,154,eca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32215,,,"Trent Affair.  During civil war, union ship San Jacinto boarded British packet ship Trent and seized two confederate diplomats en route to Britian.  The confederate diplomats had been hoping to secure diplomatic recongition by the British."
JPN,740,1863,1,Shimonoseki Campaign,,740,13,0,16,7,14,9,1864,0,425,1,,Lincoln,0,2,4,19,4,19,4,19,1,1,1,0,2,Economic Protection,7,0,0,0,0,0,0,1,0,1,5,42,47,1,2,2,5,42,47,1,2,2,,50,3,0,1,0,1,0,0,1,0,0,0,0,0,119662,960,860,21157,34026,3018,0.178967,-9,0,0,0,33091,1850,0.0242581,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,8,0,8,8,54,-88,-88,-88,-4,0,,,,,,,,7698,114782,229.06,3415.41,16.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,,,,36.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33607,,,Dispute refers to an array of issues between Western powers and Choshu-controlled southern Japan.  Americans upset antiforeign sentiment had resulted in Japanese open fire on foreign ships.  American involvment limited; hostilities between both sides escalated into naval skirmishes.  
JPN,740,1864,,,,,,1,4,9,14,9,1864,0,10,1,,Lincoln,0,2,4,18,4,18,4,18,0,1,0,1,2,Economic protection,7,0,0,0,0,0,0,1,0,1,0,2,5,0,1,1,0,2,5,0,1,1,,50,1,0,1,1,0,0,0,1,0,0,0,0,0,157390,1032,1031,22597,34863,3156,0.1929127,-9,0,0,0,33277,1884,0.02422,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,8,0,8,8,55,-88,-88,-88,-3,0,,,,,,,,9549,116084,277.78,3376.89,-1.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,,,,36.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34376,,,"Naval forces of the United States, Great Britain, France, and the Netherlands compelled Japan and the Prince of Nagato in particular to permit the Straits of Shimonoseki to be used by foreign shipping in accordance with treaties already signed"
SPN,230,1864,,,,,2014,1,6,12,6,12,1864,0,1,1,,Lincoln,0,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,5,,,,,,,,,,0,0,0,,,,,1,0,1,0,0,1,0,2,1,1,0,157390,1032,1031,22597,34863,3156,0.1929127,5211,118,51,943,15860,852,0.0176745,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,8,0,8,8,55,1,7,-6,-6,12,,,,,,,,9549,116084,277.78,3376.89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34376,,,Several European states sought to take advantage of weakened US position during civil war by intervening in Latin America.  Spanish miltary seized Chincha Islands.  US Secretary of State issues a statement through American diplomat in Madrid warning Spain United States would not yield assent to Spain's actions in Western Hemisphere.  
FRN,220,1865,1,The French Intervention in Mexico,,"70, 2",1800,0,17,5,12,10,1866,0,153,2,,Johnson,0,3,3,7,3,7,1,1,1,1,1,1,1,Remove Foreign Regime; Maintain/Build Foreign Regime Authority; Acquire/Defend Territory; Protect own Military and/or Diplomatic Interests,1;2;4;8,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,50000,0,0,1,0,1,0,0,0,0,1,1,1,0,30471,1063,845,22658,35701,3301,0.1354652,23844,479,1204,18470,38020,3088,0.1106782,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,9,1,8,8,56,0,6,-6,-6,2,,,,,,,,9977,119408,283.58,3394.01,0.51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35182,,,"With end of American Civil War, United States increased pressure on France to withdraw from Mexico.  American force began making shows of force up and down rio grande.  Secretary of State sent a letter to France demanding withdrawal.  "
PAN,95,1865,0 (civil unrest),"The ""Glorious Revolution"" of the 9th",,95,,0,9,3,10,3,1865,0,1,2,,Lincoln,0,3,3,12,3,12,1,1,0,0,1,0,1,Economic Protection; Protect own Military and/or Diplomatic Interests,7; 8 ,0,0,0,0,0,0,1,1,1,0,0,0,0,4,4,0,4,4,0,1,1,,30,1,0,1,1,0,0,0,1,0,0,0,0,0,30471,1063,845,22658,35701,3301,0.1354652,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,9,1,8,8,56,,,,,,,,,,,,,9977,119408,283.58,3394.01,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,40.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35182,,,U.S. forces protected the lives and property of American residents during a revolution
BRA,140,1866,1,Blockade Dispute with Brazil ,,150,2043,0,3,11,3,11,1866,0,1,2,,Johnson,0,3,3,8,3,8,1,1,1,1,1,1,1,Protect own Military and/or Diplomatic Interest,8,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,0,1,0,0,0,0,0,17821,77,1225,26846,36538,3452,0.0981717,2609,77,0,171,8221,247,0.0093401,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,9,1,8,8,57,1,7,-6,-6,42,,,,,,,,9081,113929,251.89,3160.14,-6.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,5,Central & S. America,14,lac,,,,41.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36052,,,"American steamer Shamokin arrived at mouth of Paraguay river transporting American diplomat.  Brazilian blockading party intially prevented the ship from passing, but relented when the Americans reminded the admiral the ship was armed and prepared to fight."
CHN,710,1866,1,US Consul Protection,,710,,0,20,6,7,7,1866,0,17,2,,Johnson,0,3,4,19,4,19,1,1,0,1,1,0,1,Protect own Military and/or Diplomatic Interest,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,100,1,0,1,1,0,0,0,1,0,1,0,0,0,17821,77,1225,26846,36538,3452,0.0981717,-9,1000,10,0,351970,-9,0.171008,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,1,8,8,57,1,7,-6,-6,3,,,,,,,,9081,113929,251.89,3160.14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,,,,42.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36052,,,U.S. forces punished an assault on the American consul at Newchwang
MEX,70,1866,0,Occupation of Matamoros,,70,,0,24,11,27,11,1866,0,3,2,,Johnson,0,3,4,16,4,16,1,1,0,0,0,0,1,Maintain/Build Foreign Regime Authority; Maintain Empire; Acquire/Defend Territory; Social Protection & Order; ,2; 3; 4; 6,0,1,1,1,0,1,0,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,300,0,0,1,1,0,0,0,1,0,2,1,1,0,17821,77,1225,26846,36538,3452,0.0981717,2594,40,0,64,8957,217,0.0077329,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,1,8,8,57,1,4,-3,-3,2,,,,,,,,9081,113929,251.89,3160.14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,48.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36052,,,"Mexico. To protect American residents, General Sedgwick and 100 men in November compelled the surrender of Matamoras. Three days later, he was ordered to withdraw and the act was repudiated by the President. Notes: The 100 troops is claimed to be 300 in primary sources."
SPN,230,1866,1,The Bombardment of Valparaiso,,155,1714,0,1,3,31,3,1866,0,31,2,,Johnson,0,3,3,8,4,20,4,19,0,0,1,0,2,Social Protection & Order; Social Protection,6;6.1,0,0,0,0,0,1,0,0,3,0,0,9,0,0,1,0,0,9,0,0,1,,0,4,0,1,0,1,0,0,0,0,1,0,0,0,17821,77,1225,26846,36538,3452,0.0981717,4987,107,39,922,15980,901,0.0204372,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,9,1,8,8,57,1,7,-6,-6,14,,,,,,,,9081,113929,251.89,3160.14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,13,lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36052,,,"Anglo-American fleet anchored in Valparaiso, Chile, the country's principal port, during dispute between Spain and Chile.  Anglo-American force fled when Sapniards arrived. "
NIC,93,1867,1,Presidential Transition Show of Force,,93,,0,6,9,6,9,1867,0,1,2,,Johnson,0,3,3,7,3,7,1,1,1,1,0,1,1,Maintain/Build Foreign Regime Authority,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,1,0,1,0,0,0,30698,75,1326,28027,37376,3610,0.1141338,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,1,8,8,58,1,6,-5,-5,29,,,,,,,,8424,115883,227.86,3134.52,-0.81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,50.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36970,,,Marines occupied Managua and Leon.
TAW,713,1867,1,Formosa Expedition,,713,,0,13,6,13,6,1867,0,1,2,,Johnson,0,3,4,19,4,19,4,19,0,0,1,0,1,Social Protection & Order ,6,0,0,0,0,0,1,0,0,3,1,0,1,1,0,1,1,0,1,1,0,1,,181,2,0,1,1,0,0,0,1,0,0,0,0,0,30698,75,1326,28027,37376,3610,0.1141338,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,9,1,8,8,58,,,,,,,,,,,,,8424,115883,227.86,3134.52,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36970,,,naval force landed and burned a number of huts to punish the murder of the crew of a wrecked American vessel.
COL,100,1868,1,Chiriquí Intervention,,95,,0,7,4,28,4,1868,0,22,2,,Johnson,0,3,3,7,3,10,3,10,1,1,0,1,1,Economic Protection; Protect Own Military and/or Diplomatic Interests,7; 8,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,14,1,0,1,1,0,0,0,1,0,1,0,0,0,20154,66,1454,31646,38213,3776,0.1066403,50,2,0,0,2832,0,0.0007338,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,1,8,8,59,8,0,8,8,1,,,,,,,,8224,120403,217.08,3178.13,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,5,Central & S. America,14,lac,,,,41.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37885,,,April. U.S. forces protected passengers and treasure in transit at Aspinwall (Colón) in the absence of local police or troops on the occasion of the death of the president of Colombia.
JPN,740,1868,1,Boshin War,,740,,0,4,2,26,9,1868,0,234,2,,Johnson,0,3,4,15,4,18,4,18,0,1,1,0,2,Social Protection & Order; Economic Protection; Protect Own Military and/or Diplomatic Interests,6; 7; 8,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,1,0,1,1,,50,5,0,1,1,0,0,0,1,0,0,0,0,0,20154,66,1454,31646,38213,3776,0.1066403,907,0,0,4,34033,2019,0.0208137,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,9,1,8,8,59,5,4,1,1,0,,,,,,,,8224,120403,217.08,3178.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,,,,36.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37885,,,"Japan (Osaka, Hiolo, Nagasaki, Yokohama, and Negata). February 4 to 8, April 4 to May 12, June 12 and 13. U.S. forces were landed to protect American interests during the civil war in Japan."
URU,165,1868,0 (Civil Unrest),Montevideo Uprising,,165,,0,7,2,26,2,1868,0,9,2,,Johnson,0,3,3,12,3,12,1,1,0,0,1,1,2,Maintain/Build Foreign Regime Authority; Economic Protection; Social Protection & Order; Protect own Military and/or Diplomatic Interest,2; 6; 7; 8,0,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,0,1,1,0,0,0,1,0,0,0,0,0,20154,66,1454,31646,38213,3776,0.1066403,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,9,1,8,8,59,1,4,-3,-3,38,,,,,,,,8224,120403,217.08,3178.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,5,Central & S. America,14,lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37885,,,U.S. forces protected foreign residents and the customhouse dyring an insurrection at Montevideo.
HAI,41,1869,1,Dominican Republic Interference,,41,1532,0,,11,,11,1869,0,30,2,,Grant,0,3,3,8,3,8,2,4,0,0,1,0,1,"Maintain Empire, Protect Own Military and/or Diplomatic Interests",3;8,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,16559,52,1739,35983,39051,3949,0.1080056,-9,4,0,0,592,0,0.0003456,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,8,8,60,0,3,-3,-3,49,,,,,,,,7921,123679,203.78,3181.87,0.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38870,,,"Haiti sough to establish Monroe Doctrine in Carribean, attempted to interfer in Dominician affairs during civil unrest.  United States sent seven warships in November as a display of force against Haiti."
CHN,710,1870,1,Tianjin Massacre,,710,220,0,25,7,5,10,1870,0,73,2,,Grant,0,3,3,8,3,8,1,1,0,0,1,0,2,Social Protection & Order,6,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,Unknown,Unknown,0,1,0,1,0,0,0,0,1,0,0,0,13128,50,1692,37779,39905,4130,0.0989996,-9,1000,10,0,346694,-9,0.1706882,,,,,,,0,1,1,1,450,418,101.5873032,87.30158997,12,0.58999997,12,0.58999997,12.59,0,0,0,0,0,0,9,1,8,8,61,1,7,-6,-6,7,,,,,,,,7812,127371,195.76,3191.86,0.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,,,,41.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39905,,,"Tianjin Massacre, two French ministers killed and four British and American churches burned.  Foreign gunboats anchored off Tianjin.  "
Hawaii,,1870,,,,,,1,,,,,1870,0,,2,,Grant,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,1,0,0,0,13128,50,1692,37779,39905,4130,0.0989996,,,,,,,,,,,,,,0,1,1,1,450,418,,,,,,,,,,,,,,9,1,8,8,61,,,,,,,,,,,,,7812,127371,195.76,3191.86,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,,eap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39905,,,Hawaiian Islands. September 21. U.S. forces landed and placed the American flag at the Honolulu consulate at half-mast upon the death of Queen Kalama.
MEX,70,1870,1,Battle of Boca Teacapan,,70,2117,0,17,6,18,6,1870,0,2,2,,Grant,0,3,4,19,4,19,1,1,1,1,1,1,1,Economic Protection; Protect Own Military and/or Diplomatic Interests,7; 8,0,0,0,0,0,0,1,1,2,7,0,7,1,0,1,4,0,7,0,0,0,,79,7,0,1,0,1,0,0,1,0,2,1,1,0,13128,50,1692,37779,39905,4130,0.0989996,1440,18,0,83,9210,231,0.005307,,,,,,,0,1,1,1,450,418,17.47572899,29.12621307,3,6,3,6,9,0,0,0,0,0,0,9,1,8,8,61,1,6,-5,-5,6,,,,,,,,7812,127371,195.76,3191.86,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,48.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39905,,,"U.S. forces destroyed the pirate ship Forward, which had run aground in the Rio Tecapan."
KOR,730,1871,1,Korea Shipwreck Incident,,730,,0,10,6,12,6,1871,0,3,2,,Grant,0,3,4,18,4,18,4,18,0,1,1,0,1,Policy Change; Economic Protection,5; 7,0,0,0,0,1,0,1,0,1,2,250,252,1,3,4,2,250,252,1,3,4,,651,5,0,1,1,0,0,0,1,0,0,0,0,0,11811,42,1735,39546,40938,4302,0.098381,,,,,,,,,,,,,,0,0,0,0,534,475,,,,,,,,,,,,,,10,0,10,10,62,5,4,1,1,,,,,,,,,7665,133430,186.91,3253.61,1.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,,,,50.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41010,,,"A U.S. naval force attacked and captured five forts to punish natives for depredations on Americans, particularly for murdering the crew of the USS General Sherman and burning the schooner and for later firing on other American small boats taking soundings up the Salee River.   "
COL,100,1873,0 (local revolution),Isthmus Revolutions,,95,,0,7,5,9,10,1873,0,33,2,,Grant,0,3,3,7,4,18,4,18,0,0,1,0,1,Economic Protection; Protect Own Military and/or Diplomatic Interests,7;8,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,300,3,0,1,1,0,0,0,1,0,1,0,0,0,15014,43,2602,53674,43006,4667,0.1162688,184,2,0,0,3008,0,0.0008941,,,,,,,0,1,1,1,342.0299988,626.5900269,38.23529434,15,1.14,0.54000002,1.14,0.54000002,1.6800001,0,0,0,0,0,0,10,0,10,10,64,8,0,8,8,6,,,,,,,,8837,156931,204.44,3630.56,11.59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,5,Central & S. America,14,lac,,,,41.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43225,,,U.S. forces protected American interests during hostilities between local groups over control of the government of the State of Panama.
MEX,70,1873,0 (Native Americans),Border Crossings by U.S. Troops,,70,1535; 1547,0,17,5,1,7,1882,0,3333,2,,Grant,0,3,4,19,4,19,4,19,1,1,0,1,1,Maintain Empire; Acquire or Defend Territory; Economic Protection; Social Protection and Order,3; 4; 6; 7,0,0,1,1,0,1,1,0,1,100,10,110,2,1,3,100,100,200,2,2,3,,1000,2,0,1,0,1,0,0,1,0,2,1,1,0,15014,43,2602,53674,43006,4667,0.1162688,2087,20,0,91,9452,242,0.0063916,,,,,,,0,1,1,1,342.0299988,626.5900269,22.54901886,27.45098114,4,6,4,6,10,0,0,0,0,0,0,10,0,10,10,64,1,6,-5,-5,9,,,,,,,,8837,156931,204.44,3630.56,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,48.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43225,,,"Mexico. United States troops crossed the Mexican border repeatedly in pursuit of cattle thieves and other brigands. There were some reciprocal pursuits by Mexican troops into border territory. Mexico protested frequently. Notable cases were at Remolina in May 1873 and at Las Cuevas in 1875. While Washington often supported these excursions, formal agreements between Mexico and the United States, the first in 1882, finally legitimized such raids. They continued intermittently, with minor disputes, until 1896."
